date,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755883800000,3.1683,3.1683,3.1535,3.1548,756,1755884099999,2389.39079231,22,491,1551.87418442,0
1755884100000,3.1591,3.1591,3.1495,3.1495,23,1755884399999,72.88519167,6,23,72.88519167,0
1755884400000,3.1453,3.1453,3.1357,3.1398,1510,1755884699999,4809.24582384,211,1268,4038.50138394,0
1755884700000,3.1398,3.1398,3.1327,3.1361,13642,1755884999999,43500.73315479,404,7655,24409.85119573,0
1755885000000,3.1362,3.1424,3.1362,3.1406,1364,1755885299999,4344.42659104,72,204,649.61472492,0
1755885300000,3.1439,3.1453,3.1390,3.1390,5617,1755885599999,17866.33916879,24,174,553.46605136,0
1755885600000,3.1403,3.1456,3.1403,3.1456,615,1755885899999,1957.45575426,18,615,1957.45575426,0
1755885900000,3.1357,3.1357,3.1357,3.1357,50,1755886199999,159.45402940,2,31,98.86149823,0
1755886200000,3.1341,3.1341,3.1341,3.1341,31,1755886499999,98.91196835,1,31,98.91196835,0
1755886500000,3.1341,3.1341,3.1341,3.1341,0,1755886799999,0,0,0,0,0
1755886800000,3.1288,3.1288,3.1239,3.1239,182,1755887099999,582.28213326,49,31,99.13655261,0
1755887100000,3.1236,3.1318,3.1236,3.1318,92,1755887399999,294.26316226,6,92,294.26316226,0
1755887400000,3.1300,3.1472,3.1300,3.1405,541,1755887699999,1722.04813037,36,479,1524.63362339,0
1755887700000,3.1403,3.1443,3.1403,3.1440,33,1755887999999,105.03647997,33,0,0,0
1755888000000,3.1443,3.1494,3.1439,3.1484,208,1755888299999,660.80253074,64,151,479.64514975,0
1755888300000,3.1493,3.1495,3.1460,3.1460,475,1755888599999,1508.93536676,415,62,196.86602042,0
1755888600000,3.1455,3.1459,3.1433,3.1453,235,1755888899999,747.19883095,176,61,193.95896962,0
1755888900000,3.1454,3.1550,3.1454,3.1550,277,1755889199999,878.95912546,13,277,878.95912546,0
1755889200000,3.1560,3.1626,3.1560,3.1626,134,1755889499999,424.32036280,8,134,424.32036280,0
1755889500000,3.1606,3.1606,3.1547,3.1548,348,1755889799999,1101.39939682,48,273,863.85406504,0
1755889800000,3.1600,3.1600,3.1586,3.1587,51,1755890099999,161.46053248,3,51,161.46053248,0
1755890100000,3.1629,3.1695,3.1622,3.1633,315,1755890399999,995.19720429,86,190,599.96767934,0
1755890400000,3.1650,3.1670,3.1639,3.1652,431,1755890699999,1361.69578932,18,401,1266.90007409,0
1755890700000,3.1672,3.1730,3.1672,3.1710,251,1755890999999,791.82370772,16,199,627.84700208,0
1755891000000,3.1683,3.1683,3.1621,3.1647,95,1755891299999,300.21164454,11,95,300.21164454,0
1755891300000,3.1621,3.1625,3.1618,3.1625,54,1755891599999,170.77668904,3,4,12.64822134,0
1755891600000,3.1625,3.1625,3.1625,3.1625,0,1755891899999,0,0,0,0,0
1755891900000,3.1734,3.1734,3.1696,3.1701,535,1755892199999,1687.67082023,12,2,6.30238861,0
1755892200000,3.1684,3.1711,3.1684,3.1694,41,1755892499999,129.39080523,41,0,0,0
1755892500000,3.1740,3.1742,3.1485,3.1485,669,1755892799999,2113.56195389,299,253,797.09767753,0
1755892800000,3.1611,3.1631,3.1521,3.1630,427,1755893099999,1352.20042880,275,159,503.09049401,0
1755893100000,3.1637,3.1637,3.1637,3.1637,1,1755893399999,3.16085596,1,1,3.16085596,0
1755893400000,3.1556,3.1603,3.1556,3.1603,728,1755893699999,2303.79711454,5,62,196.25614727,0
1755893700000,3.1605,3.1605,3.1605,3.1605,8,1755893999999,25.31245056,1,8,25.31245056,0
1755894000000,3.1579,3.1579,3.1560,3.1560,25,1755894299999,79.20847593,2,25,79.20847593,0
1755894300000,3.1572,3.1593,3.1567,3.1570,71,1755894599999,224.87238721,6,40,126.68411912,0
1755894600000,3.1572,3.1572,3.1536,3.1536,30,1755894899999,95.07312388,8,30,95.07312388,0
1755894900000,3.1536,3.1536,3.1536,3.1536,0,1755895199999,0,0,0,0,0
1755895200000,3.1572,3.1646,3.1572,3.1620,537,1755895499999,1699.58883046,22,506,1601.54961477,0
1755895500000,3.1615,3.1673,3.1599,3.1599,362,1755895799999,1143.85236253,11,220,695.06000845,0
1755895800000,3.1599,3.1599,3.1599,3.1599,0,1755896099999,0,0,0,0,0
1755896100000,3.1622,3.1622,3.1622,3.1622,20,1755896399999,63.24710644,1,20,63.24710644,0
1755896400000,3.1695,3.1731,3.1694,3.1707,115,1755896699999,362.77007554,10,115,362.77007554,0
1755896700000,3.1742,3.1820,3.1742,3.1756,90,1755896999999,283.43952897,8,59,185.79250721,0
1755897000000,3.1717,3.1723,3.1562,3.1562,176,1755897299999,556.11237937,34,53,167.30715486,0
1755897300000,3.1627,3.1648,3.1624,3.1644,8,1755897599999,25.28545101,8,6,18.96144031,0
1755897600000,3.1709,3.1811,3.1705,3.1720,410,1755897899999,1290.89262692,38,171,539.18225716,0
1755897900000,3.1717,3.1839,3.1711,3.1807,1112,1755898199999,3497.73784510,49,636,1999.88256165,0
1755898200000,3.1818,3.1818,3.1727,3.1727,188,1755898499999,591.22850676,36,0,0,0
1755898500000,3.1731,3.1748,3.1720,3.1743,242,1755898799999,762.40679275,6,241,759.25420763,0
1755898800000,3.1751,3.1788,3.1751,3.1788,190,1755899099999,598.05808851,2,190,598.05808851,0
1755899100000,3.1788,3.1788,3.1788,3.1788,1,1755899399999,3.14584120,1,0,0,0
1755899400000,3.1777,3.1777,3.1777,3.1777,131,1755899699999,412.24785222,1,0,0,0
1755899700000,3.1692,3.1703,3.1692,3.1703,88,1755899999999,277.60800439,2,88,277.60800439,0
1755900000000,3.1673,3.1681,3.1673,3.1681,3,1755900299999,9.47099259,2,0,0,0
1755900300000,3.1645,3.1645,3.1602,3.1602,255,1755900599999,806.24666335,8,0,0,0
1755900600000,3.1549,3.1596,3.1538,3.1596,325,1755900899999,1029.27019257,6,270,854.89840176,0
1755900900000,3.1638,3.1638,3.1638,3.1638,102,1755901199999,322.39711739,2,0,0,0
1755901200000,3.1630,3.1630,3.1630,3.1630,46,1755901499999,145.43155232,1,0,0,0
1755901500000,3.1645,3.1687,3.1637,3.1687,131,1755901799999,413.79325524,11,55,173.71721838,0
1755901800000,3.1634,3.1634,3.1634,3.1634,83,1755902099999,262.37592464,1,0,0,0
1755902100000,3.1603,3.1603,3.1536,3.1536,74,1755902399999,234.52026611,5,0,0,0
1755902400000,3.1536,3.1536,3.1536,3.1536,0,1755902699999,0,0,0,0,0
1755902700000,3.1612,3.1612,3.1609,3.1609,108,1755902999999,341.66523199,2,108,341.66523199,0
1755903000000,3.1609,3.1609,3.1609,3.1609,0,1755903299999,0,0,0,0,0
1755903300000,3.1609,3.1609,3.1609,3.1609,0,1755903599999,0,0,0,0,0
1755903600000,3.1564,3.1564,3.1483,3.1483,20,1755903899999,63.42203024,12,0,0,0
